country,image_id,path
Albania,25_212,label_patches\Albania\25_212_Labels.npy
Albania,14_132,label_patches\Albania\14_132_Labels.npy
Albania,00_111,label_patches\Albania\00_111_Labels.npy
Albania,20_142,label_patches\Albania\20_142_Labels.npy
Albania,15_132,label_patches\Albania\15_132_Labels.npy
Albania,12_131,label_patches\Albania\12_131_Labels.npy
Albania,23_211,label_patches\Albania\23_211_Labels.npy
Albania,28_222,label_patches\Albania\28_222_Labels.npy
Albania,24_212,label_patches\Albania\24_212_Labels.npy
Albania,08_123,label_patches\Albania\08_123_Labels.npy
Albania,09_123,label_patches\Albania\09_123_Labels.npy
Albania,10_124,label_patches\Albania\10_124_Labels.npy
Albania,06_122,label_patches\Albania\06_122_Labels.npy
Albania,26_221,label_patches\Albania\26_221_Labels.npy
Albania,27_221,label_patches\Albania\27_221_Labels.npy
Albania,19_141,label_patches\Albania\19_141_Labels.npy
Albania,32_231,label_patches\Albania\32_231_Labels.npy
Albania,16_133,label_patches\Albania\16_133_Labels.npy
Albania,02_112,label_patches\Albania\02_112_Labels.npy
Albania,18_141,label_patches\Albania\18_141_Labels.npy
Albania,07_122,label_patches\Albania\07_122_Labels.npy
Albania,05_121,label_patches\Albania\05_121_Labels.npy
Albania,11_124,label_patches\Albania\11_124_Labels.npy
Albania,33_231,label_patches\Albania\33_231_Labels.npy
Albania,39_243,label_patches\Albania\39_243_Labels.npy
Albania,38_243,label_patches\Albania\38_243_Labels.npy
Albania,22_211,label_patches\Albania\22_211_Labels.npy
Albania,40_311,label_patches\Albania\40_311_Labels.npy
Albania,30_223,label_patches\Albania\30_223_Labels.npy
Albania,41_311,label_patches\Albania\41_311_Labels.npy
Albania,31_223,label_patches\Albania\31_223_Labels.npy
Albania,35_241,label_patches\Albania\35_241_Labels.npy
Albania,37_242,label_patches\Albania\37_242_Labels.npy
Albania,44_313,label_patches\Albania\44_313_Labels.npy
Albania,21_142,label_patches\Albania\21_142_Labels.npy
Albania,04_121,label_patches\Albania\04_121_Labels.npy
Albania,17_133,label_patches\Albania\17_133_Labels.npy
Albania,42_312,label_patches\Albania\42_312_Labels.npy
Albania,46_321,label_patches\Albania\46_321_Labels.npy
Albania,47_321,label_patches\Albania\47_321_Labels.npy
Albania,36_242,label_patches\Albania\36_242_Labels.npy
Albania,45_313,label_patches\Albania\45_313_Labels.npy
Albania,49_322,label_patches\Albania\49_322_Labels.npy
Albania,56_332,label_patches\Albania\56_332_Labels.npy
Albania,52_324,label_patches\Albania\52_324_Labels.npy
Albania,29_222,label_patches\Albania\29_222_Labels.npy
Albania,48_322,label_patches\Albania\48_322_Labels.npy
Albania,54_331,label_patches\Albania\54_331_Labels.npy
Albania,13_131,label_patches\Albania\13_131_Labels.npy
Albania,03_112,label_patches\Albania\03_112_Labels.npy
Albania,58_333,label_patches\Albania\58_333_Labels.npy
Albania,61_334,label_patches\Albania\61_334_Labels.npy
Albania,34_241,label_patches\Albania\34_241_Labels.npy
Albania,66_421,label_patches\Albania\66_421_Labels.npy
Albania,53_324,label_patches\Albania\53_324_Labels.npy
Albania,73_511,label_patches\Albania\73_511_Labels.npy
Albania,01_111,label_patches\Albania\01_111_Labels.npy
Albania,60_334,label_patches\Albania\60_334_Labels.npy
Albania,43_312,label_patches\Albania\43_312_Labels.npy
Albania,59_333,label_patches\Albania\59_333_Labels.npy
Albania,69_422,label_patches\Albania\69_422_Labels.npy
Albania,67_421,label_patches\Albania\67_421_Labels.npy
Albania,78_522,label_patches\Albania\78_522_Labels.npy
Albania,76_521,label_patches\Albania\76_521_Labels.npy
Albania,75_512,label_patches\Albania\75_512_Labels.npy
Albania,65_411,label_patches\Albania\65_411_Labels.npy
Albania,77_521,label_patches\Albania\77_521_Labels.npy
Albania,55_331,label_patches\Albania\55_331_Labels.npy
Albania,74_512,label_patches\Albania\74_512_Labels.npy
Albania,70_423,label_patches\Albania\70_423_Labels.npy
Albania,81_523,label_patches\Albania\81_523_Labels.npy
Albania,79_522,label_patches\Albania\79_522_Labels.npy
Albania,68_422,label_patches\Albania\68_422_Labels.npy
Albania,62_335,label_patches\Albania\62_335_Labels.npy
Albania,50_323,label_patches\Albania\50_323_Labels.npy
Albania,71_423,label_patches\Albania\71_423_Labels.npy
Albania,57_332,label_patches\Albania\57_332_Labels.npy
Albania,51_323,label_patches\Albania\51_323_Labels.npy
Albania,72_511,label_patches\Albania\72_511_Labels.npy
Albania,63_335,label_patches\Albania\63_335_Labels.npy
Albania,64_411,label_patches\Albania\64_411_Labels.npy
Albania,80_523,label_patches\Albania\80_523_Labels.npy
Austria,087_132,label_patches\Austria\087_132_Labels.npy
Austria,084_132,label_patches\Austria\084_132_Labels.npy
Austria,051_123,label_patches\Austria\051_123_Labels.npy
Austria,081_132,label_patches\Austria\081_132_Labels.npy
Austria,078_132,label_patches\Austria\078_132_Labels.npy
Austria,015_112,label_patches\Austria\015_112_Labels.npy
Austria,066_131,label_patches\Austria\066_131_Labels.npy
Austria,012_112,label_patches\Austria\012_112_Labels.npy
Austria,027_121,label_patches\Austria\027_121_Labels.npy
Austria,018_112,label_patches\Austria\018_112_Labels.npy
Austria,063_124,label_patches\Austria\063_124_Labels.npy
Austria,045_123,label_patches\Austria\045_123_Labels.npy
Austria,069_131,label_patches\Austria\069_131_Labels.npy
Austria,003_111,label_patches\Austria\003_111_Labels.npy
Austria,039_122,label_patches\Austria\039_122_Labels.npy
