country,image_id,path
Albania,25_212,topo_patches\Albania\25_212_Topo.npy
Albania,14_132,topo_patches\Albania\14_132_Topo.npy
Albania,00_111,topo_patches\Albania\00_111_Topo.npy
Albania,20_142,topo_patches\Albania\20_142_Topo.npy
Albania,15_132,topo_patches\Albania\15_132_Topo.npy
Albania,12_131,topo_patches\Albania\12_131_Topo.npy
Albania,23_211,topo_patches\Albania\23_211_Topo.npy
Albania,28_222,topo_patches\Albania\28_222_Topo.npy
Albania,24_212,topo_patches\Albania\24_212_Topo.npy
Albania,08_123,topo_patches\Albania\08_123_Topo.npy
Albania,09_123,topo_patches\Albania\09_123_Topo.npy
Albania,10_124,topo_patches\Albania\10_124_Topo.npy
Albania,06_122,topo_patches\Albania\06_122_Topo.npy
Albania,26_221,topo_patches\Albania\26_221_Topo.npy
Albania,27_221,topo_patches\Albania\27_221_Topo.npy
Albania,19_141,topo_patches\Albania\19_141_Topo.npy
Albania,32_231,topo_patches\Albania\32_231_Topo.npy
Albania,16_133,topo_patches\Albania\16_133_Topo.npy
Albania,02_112,topo_patches\Albania\02_112_Topo.npy
Albania,18_141,topo_patches\Albania\18_141_Topo.npy
Albania,07_122,topo_patches\Albania\07_122_Topo.npy
Albania,05_121,topo_patches\Albania\05_121_Topo.npy
Albania,11_124,topo_patches\Albania\11_124_Topo.npy
Albania,33_231,topo_patches\Albania\33_231_Topo.npy
Albania,39_243,topo_patches\Albania\39_243_Topo.npy
Albania,38_243,topo_patches\Albania\38_243_Topo.npy
Albania,22_211,topo_patches\Albania\22_211_Topo.npy
Albania,40_311,topo_patches\Albania\40_311_Topo.npy
Albania,30_223,topo_patches\Albania\30_223_Topo.npy
Albania,41_311,topo_patches\Albania\41_311_Topo.npy
Albania,31_223,topo_patches\Albania\31_223_Topo.npy
Albania,35_241,topo_patches\Albania\35_241_Topo.npy
Albania,37_242,topo_patches\Albania\37_242_Topo.npy
Albania,44_313,topo_patches\Albania\44_313_Topo.npy
Albania,21_142,topo_patches\Albania\21_142_Topo.npy
Albania,04_121,topo_patches\Albania\04_121_Topo.npy
Albania,17_133,topo_patches\Albania\17_133_Topo.npy
Albania,42_312,topo_patches\Albania\42_312_Topo.npy
Albania,46_321,topo_patches\Albania\46_321_Topo.npy
Albania,47_321,topo_patches\Albania\47_321_Topo.npy
Albania,36_242,topo_patches\Albania\36_242_Topo.npy
Albania,45_313,topo_patches\Albania\45_313_Topo.npy
Albania,49_322,topo_patches\Albania\49_322_Topo.npy
Albania,56_332,topo_patches\Albania\56_332_Topo.npy
Albania,52_324,topo_patches\Albania\52_324_Topo.npy
Albania,29_222,topo_patches\Albania\29_222_Topo.npy
Albania,48_322,topo_patches\Albania\48_322_Topo.npy
Albania,54_331,topo_patches\Albania\54_331_Topo.npy
Albania,13_131,topo_patches\Albania\13_131_Topo.npy
Albania,03_112,topo_patches\Albania\03_112_Topo.npy
Albania,58_333,topo_patches\Albania\58_333_Topo.npy
Albania,61_334,topo_patches\Albania\61_334_Topo.npy
Albania,34_241,topo_patches\Albania\34_241_Topo.npy
Albania,66_421,topo_patches\Albania\66_421_Topo.npy
Albania,53_324,topo_patches\Albania\53_324_Topo.npy
Albania,73_511,topo_patches\Albania\73_511_Topo.npy
Albania,01_111,topo_patches\Albania\01_111_Topo.npy
Albania,60_334,topo_patches\Albania\60_334_Topo.npy
Albania,43_312,topo_patches\Albania\43_312_Topo.npy
Albania,59_333,topo_patches\Albania\59_333_Topo.npy
Albania,69_422,topo_patches\Albania\69_422_Topo.npy
Albania,67_421,topo_patches\Albania\67_421_Topo.npy
Albania,78_522,topo_patches\Albania\78_522_Topo.npy
Albania,76_521,topo_patches\Albania\76_521_Topo.npy
Albania,75_512,topo_patches\Albania\75_512_Topo.npy
Albania,65_411,topo_patches\Albania\65_411_Topo.npy
Albania,77_521,topo_patches\Albania\77_521_Topo.npy
Albania,55_331,topo_patches\Albania\55_331_Topo.npy
Albania,74_512,topo_patches\Albania\74_512_Topo.npy
Albania,70_423,topo_patches\Albania\70_423_Topo.npy
Albania,81_523,topo_patches\Albania\81_523_Topo.npy
Albania,79_522,topo_patches\Albania\79_522_Topo.npy
Albania,68_422,topo_patches\Albania\68_422_Topo.npy
Albania,62_335,topo_patches\Albania\62_335_Topo.npy
Albania,50_323,topo_patches\Albania\50_323_Topo.npy
Albania,71_423,topo_patches\Albania\71_423_Topo.npy
Albania,57_332,topo_patches\Albania\57_332_Topo.npy
Albania,51_323,topo_patches\Albania\51_323_Topo.npy
Albania,72_511,topo_patches\Albania\72_511_Topo.npy
Albania,64_411,topo_patches\Albania\64_411_Topo.npy
Albania,63_335,topo_patches\Albania\63_335_Topo.npy
Albania,80_523,topo_patches\Albania\80_523_Topo.npy
Austria,087_132,topo_patches\Austria\087_132_Topo.npy
Austria,084_132,topo_patches\Austria\084_132_Topo.npy
Austria,051_123,topo_patches\Austria\051_123_Topo.npy
Austria,081_132,topo_patches\Austria\081_132_Topo.npy
Austria,078_132,topo_patches\Austria\078_132_Topo.npy
Austria,015_112,topo_patches\Austria\015_112_Topo.npy
Austria,066_131,topo_patches\Austria\066_131_Topo.npy
Austria,012_112,topo_patches\Austria\012_112_Topo.npy
Austria,027_121,topo_patches\Austria\027_121_Topo.npy
Austria,018_112,topo_patches\Austria\018_112_Topo.npy
Austria,063_124,topo_patches\Austria\063_124_Topo.npy
Austria,045_123,topo_patches\Austria\045_123_Topo.npy
Austria,069_131,topo_patches\Austria\069_131_Topo.npy
Austria,003_111,topo_patches\Austria\003_111_Topo.npy
Austria,039_122,topo_patches\Austria\039_122_Topo.npy
Austria,030_121,topo_patches\Austria\030_121_Topo.npy
Austria,048_123,topo_patches\Austria\048_123_Topo.npy
Austria,060_124,topo_patches\Austria\060_124_Topo.npy
Austria,009_111,topo_patches\Austria\009_111_Topo.npy
Austria,036_122,topo_patches\Austria\036_122_Topo.npy
Austria,054_123,topo_patches\Austria\054_123_Topo.npy
Austria,021_112,topo_patches\Austria\021_112_Topo.npy
Austria,006_111,topo_patches\Austria\006_111_Topo.npy
Austria,075_131,topo_patches\Austria\075_131_Topo.npy
Austria,000_111,topo_patches\Austria\000_111_Topo.npy
Austria,072_131,topo_patches\Austria\072_131_Topo.npy
Austria,042_122,topo_patches\Austria\042_122_Topo.npy
Austria,085_132,topo_patches\Austria\085_132_Topo.npy
Austria,016_112,topo_patches\Austria\016_112_Topo.npy
Austria,088_133,topo_patches\Austria\088_133_Topo.npy
Austria,033_122,topo_patches\Austria\033_122_Topo.npy
Austria,079_132,topo_patches\Austria\079_132_Topo.npy
Austria,024_121,topo_patches\Austria\024_121_Topo.npy
Austria,057_124,topo_patches\Austria\057_124_Topo.npy
Austria,052_123,topo_patches\Austria\052_123_Topo.npy
Austria,064_124,topo_patches\Austria\064_124_Topo.npy
Austria,031_121,topo_patches\Austria\031_121_Topo.npy
Austria,013_112,topo_patches\Austria\013_112_Topo.npy
Austria,010_111,topo_patches\Austria\010_111_Topo.npy
Austria,037_122,topo_patches\Austria\037_122_Topo.npy
Austria,040_122,topo_patches\Austria\040_122_Topo.npy
Austria,073_131,topo_patches\Austria\073_131_Topo.npy
Austria,019_112,topo_patches\Austria\019_112_Topo.npy
Austria,004_111,topo_patches\Austria\004_111_Topo.npy
Austria,043_122,topo_patches\Austria\043_122_Topo.npy
Austria,070_131,topo_patches\Austria\070_131_Topo.npy
Austria,028_121,topo_patches\Austria\028_121_Topo.npy
Austria,061_124,topo_patches\Austria\061_124_Topo.npy
Austria,022_121,topo_patches\Austria\022_121_Topo.npy
Austria,034_122,topo_patches\Austria\034_122_Topo.npy
Austria,067_131,topo_patches\Austria\067_131_Topo.npy
Austria,025_121,topo_patches\Austria\025_121_Topo.npy
Austria,017_112,topo_patches\Austria\017_112_Topo.npy
Austria,089_133,topo_patches\Austria\089_133_Topo.npy
Austria,058_124,topo_patches\Austria\058_124_Topo.npy
Austria,080_132,topo_patches\Austria\080_132_Topo.npy
Austria,032_121,topo_patches\Austria\032_121_Topo.npy
Austria,046_123,topo_patches\Austria\046_123_Topo.npy
Austria,001_111,topo_patches\Austria\001_111_Topo.npy
Austria,086_132,topo_patches\Austria\086_132_Topo.npy
Austria,011_112,topo_patches\Austria\011_112_Topo.npy
Austria,049_123,topo_patches\Austria\049_123_Topo.npy
Austria,053_123,topo_patches\Austria\053_123_Topo.npy
Austria,014_112,topo_patches\Austria\014_112_Topo.npy
Austria,041_122,topo_patches\Austria\041_122_Topo.npy
Austria,074_131,topo_patches\Austria\074_131_Topo.npy
Austria,029_121,topo_patches\Austria\029_121_Topo.npy
Austria,038_122,topo_patches\Austria\038_122_Topo.npy
Austria,090_133,topo_patches\Austria\090_133_Topo.npy
Austria,093_133,topo_patches\Austria\093_133_Topo.npy
Austria,082_132,topo_patches\Austria\082_132_Topo.npy
Austria,068_131,topo_patches\Austria\068_131_Topo.npy
Austria,020_112,topo_patches\Austria\020_112_Topo.npy
Austria,059_124,topo_patches\Austria\059_124_Topo.npy
Austria,076_131,topo_patches\Austria\076_131_Topo.npy
Austria,062_124,topo_patches\Austria\062_124_Topo.npy
Austria,026_121,topo_patches\Austria\026_121_Topo.npy
Austria,117_142,topo_patches\Austria\117_142_Topo.npy
Austria,096_133,topo_patches\Austria\096_133_Topo.npy
Austria,071_131,topo_patches\Austria\071_131_Topo.npy
Austria,023_121,topo_patches\Austria\023_121_Topo.npy
Austria,055_124,topo_patches\Austria\055_124_Topo.npy
Austria,035_122,topo_patches\Austria\035_122_Topo.npy
Austria,114_142,topo_patches\Austria\114_142_Topo.npy
Austria,108_141,topo_patches\Austria\108_141_Topo.npy
Austria,002_111,topo_patches\Austria\002_111_Topo.npy
Austria,099_141,topo_patches\Austria\099_141_Topo.npy
Austria,005_111,topo_patches\Austria\005_111_Topo.npy
Austria,007_111,topo_patches\Austria\007_111_Topo.npy
Austria,047_123,topo_patches\Austria\047_123_Topo.npy
Austria,105_141,topo_patches\Austria\105_141_Topo.npy
Austria,097_133,topo_patches\Austria\097_133_Topo.npy
Austria,126_211,topo_patches\Austria\126_211_Topo.npy
Austria,129_211,topo_patches\Austria\129_211_Topo.npy
Austria,123_211,topo_patches\Austria\123_211_Topo.npy
Austria,118_142,topo_patches\Austria\118_142_Topo.npy
Austria,065_124,topo_patches\Austria\065_124_Topo.npy
Austria,044_123,topo_patches\Austria\044_123_Topo.npy
Austria,091_133,topo_patches\Austria\091_133_Topo.npy
Austria,111_142,topo_patches\Austria\111_142_Topo.npy
Austria,094_133,topo_patches\Austria\094_133_Topo.npy
Austria,138_221,topo_patches\Austria\138_221_Topo.npy
Austria,120_142,topo_patches\Austria\120_142_Topo.npy
Austria,056_124,topo_patches\Austria\056_124_Topo.npy
Austria,077_132,topo_patches\Austria\077_132_Topo.npy
Austria,124_211,topo_patches\Austria\124_211_Topo.npy
Austria,147_222,topo_patches\Austria\147_222_Topo.npy
Austria,106_141,topo_patches\Austria\106_141_Topo.npy
Austria,098_133,topo_patches\Austria\098_133_Topo.npy
Austria,153_222,topo_patches\Austria\153_222_Topo.npy
Austria,083_132,topo_patches\Austria\083_132_Topo.npy
Austria,050_123,topo_patches\Austria\050_123_Topo.npy
Austria,144_222,topo_patches\Austria\144_222_Topo.npy
Austria,150_222,topo_patches\Austria\150_222_Topo.npy
Austria,156_231,topo_patches\Austria\156_231_Topo.npy
Austria,008_111,topo_patches\Austria\008_111_Topo.npy
Austria,119_142,topo_patches\Austria\119_142_Topo.npy
Austria,109_141,topo_patches\Austria\109_141_Topo.npy
Austria,135_221,topo_patches\Austria\135_221_Topo.npy
Austria,121_211,topo_patches\Austria\121_211_Topo.npy
Austria,159_231,topo_patches\Austria\159_231_Topo.npy
Austria,095_133,topo_patches\Austria\095_133_Topo.npy
Austria,102_141,topo_patches\Austria\102_141_Topo.npy
Austria,092_133,topo_patches\Austria\092_133_Topo.npy
Austria,141_221,topo_patches\Austria\141_221_Topo.npy
Austria,115_142,topo_patches\Austria\115_142_Topo.npy
Austria,132_221,topo_patches\Austria\132_221_Topo.npy
Austria,107_141,topo_patches\Austria\107_141_Topo.npy
Austria,154_231,topo_patches\Austria\154_231_Topo.npy
Austria,171_242,topo_patches\Austria\171_242_Topo.npy
Austria,151_222,topo_patches\Austria\151_222_Topo.npy
Austria,112_142,topo_patches\Austria\112_142_Topo.npy
Austria,130_211,topo_patches\Austria\130_211_Topo.npy
Austria,168_242,topo_patches\Austria\168_242_Topo.npy
Austria,125_211,topo_patches\Austria\125_211_Topo.npy
Austria,162_231,topo_patches\Austria\162_231_Topo.npy
Austria,186_243,topo_patches\Austria\186_243_Topo.npy
Austria,174_242,topo_patches\Austria\174_242_Topo.npy
Austria,189_244,topo_patches\Austria\189_244_Topo.npy
Austria,160_231,topo_patches\Austria\160_231_Topo.npy
Austria,165_242,topo_patches\Austria\165_242_Topo.npy
Austria,157_231,topo_patches\Austria\157_231_Topo.npy
Austria,145_222,topo_patches\Austria\145_222_Topo.npy
Austria,177_243,topo_patches\Austria\177_243_Topo.npy
Austria,148_222,topo_patches\Austria\148_222_Topo.npy
Austria,192_244,topo_patches\Austria\192_244_Topo.npy
Austria,142_221,topo_patches\Austria\142_221_Topo.npy
Austria,100_141,topo_patches\Austria\100_141_Topo.npy
Austria,116_142,topo_patches\Austria\116_142_Topo.npy
Austria,180_243,topo_patches\Austria\180_243_Topo.npy
Austria,183_243,topo_patches\Austria\183_243_Topo.npy
Austria,136_221,topo_patches\Austria\136_221_Topo.npy
Austria,110_142,topo_patches\Austria\110_142_Topo.npy
Austria,133_221,topo_patches\Austria\133_221_Topo.npy
Austria,127_211,topo_patches\Austria\127_211_Topo.npy
Austria,172_242,topo_patches\Austria\172_242_Topo.npy
Austria,103_141,topo_patches\Austria\103_141_Topo.npy
Austria,190_244,topo_patches\Austria\190_244_Topo.npy
Austria,139_221,topo_patches\Austria\139_221_Topo.npy
Austria,155_231,topo_patches\Austria\155_231_Topo.npy
Austria,178_243,topo_patches\Austria\178_243_Topo.npy
Austria,113_142,topo_patches\Austria\113_142_Topo.npy
Austria,184_243,topo_patches\Austria\184_243_Topo.npy
Austria,146_222,topo_patches\Austria\146_222_Topo.npy
Austria,163_231,topo_patches\Austria\163_231_Topo.npy
Austria,152_222,topo_patches\Austria\152_222_Topo.npy
Austria,193_244,topo_patches\Austria\193_244_Topo.npy
Austria,104_141,topo_patches\Austria\104_141_Topo.npy
Austria,101_141,topo_patches\Austria\101_141_Topo.npy
Austria,137_221,topo_patches\Austria\137_221_Topo.npy
Austria,166_242,topo_patches\Austria\166_242_Topo.npy
Austria,161_231,topo_patches\Austria\161_231_Topo.npy
Austria,181_243,topo_patches\Austria\181_243_Topo.npy
Austria,195_244,topo_patches\Austria\195_244_Topo.npy
Austria,175_242,topo_patches\Austria\175_242_Topo.npy
Austria,128_211,topo_patches\Austria\128_211_Topo.npy
Austria,187_244,topo_patches\Austria\187_244_Topo.npy
Austria,201_311,topo_patches\Austria\201_311_Topo.npy
Austria,143_222,topo_patches\Austria\143_222_Topo.npy
Austria,173_242,topo_patches\Austria\173_242_Topo.npy
Austria,158_231,topo_patches\Austria\158_231_Topo.npy
Austria,179_243,topo_patches\Austria\179_243_Topo.npy
Austria,131_211,topo_patches\Austria\131_211_Topo.npy
Austria,204_311,topo_patches\Austria\204_311_Topo.npy
